url	status	journal	year
https://doi.org/10.1002/bult.2013.1720390406	Success: (200) OK		2013
https://doi.org/10.1038/nature10266	Success: (200) OK		2011
https://doi.org/10.1038/npre.2011.6048	Success: (200) OK		2011
https://doi.org/10.1045/november14-murray-rust	Success: (200) OK	D-Lib Magazine	2014
https://doi.org/10.1111/evo.12884	Success: (200) OK	Evolution	2016
https://doi.org/10.1186/1756-0500-5-574	Success: (200) OK		2012
https://doi.org/10.3897/bdj.2.e1125	Success: (200) OK	BDJ	2014
https://doi.org/10.3897/rio.1.e7547	Success: (200) OK	RIO	2015
https://doi.org/10.4033/iee.2013.6b.14.f	Success: (200) OK	Ideas in Ecology and Evolution	2013
https://doi.org/10.5061/dryad.h6pf365t	Success: (200) OK		2012
https://doi.org/10.5334/ban	Success: (200) OK	Issues in Open Research Data	2014
https://doi.org/10.7287/peerj.preprints.773v1	Success: (200) OK	PeerJ PrePrints	2015
